player,team,position,pts,reb,ast,stl,blk,to,fgm,fga,3pm,3pa,ftm,fta,player_shot_value,player_offensive_flow,assist_turnover_ratio
Lucy Olsen,Washington Mystics,G,3.389,0.722,1.111,0.222,0.056,0.611,1.167,2.556,0.444,1.111,0.611,0.778,0.908,0.778,388.75
Luisa Geiselsoder,Portland Fire,C,4.391,2.652,1.174,0.304,0.391,1.0,1.522,4.609,0.696,2.478,0.652,0.783,0.518,0.991,130.935
Mackenzie Holmes,Seattle Storm,F,2.739,3.0,0.565,0.565,0.261,0.435,1.0,1.826,0.261,0.435,0.478,0.652,0.729,0.375,174.098
Maddy Siegrist,Dallas Wings,F,6.686,3.0,0.8,0.429,0.371,0.314,2.629,5.286,0.8,1.943,0.629,0.743,0.614,0.351,371.229
Maddy Westbeld,Chicago Sky,F,1.0,1.333,0.667,0.0,0.0,0.333,0.333,2.0,0.333,1.667,0.0,0.0,0.25,0.0,333.333
Madina Okot,Atlanta Dream,C,5.676,3.647,0.235,0.294,0.382,1.353,2.235,3.853,0.059,0.324,1.147,1.529,0.34,0.119,58.888
Madison Hayes,Connecticut Sun,G,2.0,4.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Madison Scott,Washington Mystics,G,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0
Mai Yamamoto,Las Vegas Aces,G,5.667,0.333,1.5,0.833,0.0,0.333,1.667,3.833,1.333,2.667,1.0,1.0,1.265,0.75,500.0
Maite Cazorla,Atlanta Dream,G,5.0,4.0,4.0,2.0,0.0,2.0,1.0,2.0,0.0,1.0,3.0,4.0,1.5,4.0,2.0
Makayla Timpson,Indiana Fever,F,5.222,4.306,0.472,0.583,0.806,0.75,2.139,3.417,0.0,0.0,0.944,1.444,0.223,0.264,194.417
Mamignan Toure,Connecticut Sun,G,,,,,,,,,,,,,,,
Maria Conde,Toronto Tempo,F,9.031,4.656,2.562,0.469,0.156,1.531,3.125,8.469,1.656,4.594,1.125,1.281,0.693,1.051,126.263
Mariella Fasoula,Toronto Tempo,C,1.333,1.0,0.333,0.333,0.667,0.667,0.667,1.667,0.0,0.0,0.0,0.0,0.0,0.5,0.333
Marina Mabrey,Toronto Tempo,G,20.806,3.355,3.71,0.903,0.355,3.097,6.806,15.258,3.226,8.355,3.968,4.484,0.873,0.724,1.534
Marine Fauthoux,New York Liberty,G,4.267,2.333,2.133,0.2,0.0,1.467,1.333,3.4,0.667,2.0,0.933,1.4,0.812,2.108,68.061
Marine Johannes,New York Liberty,G,9.314,2.257,2.457,1.057,0.143,1.629,3.2,7.571,2.314,5.971,0.6,0.686,0.889,1.111,87.286
Marta Suarez,Phoenix Mercury,F,3.214,1.214,0.429,0.214,0.0,0.643,1.214,2.571,0.286,0.857,0.5,0.786,0.396,0.125,71.607
Maya Caldwell,Minnesota Lynx,G,4.028,2.194,1.056,0.667,0.194,0.694,1.389,3.75,0.694,1.861,0.556,0.694,0.684,0.676,250.38
Maya Caldwell,Portland Fire,G,2.0,5.0,2.0,0.0,0.0,3.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,2.0,0.667
Megan DiLeo,Portland Fire,C,12.939,4.212,1.0,0.424,0.636,0.758,5.091,9.394,1.303,3.545,1.455,1.818,0.585,0.212,212.351
Megan McConnell,Indiana Fever,G,0.0,2.5,1.5,1.0,0.5,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,,0.5
Mercedes Russell,Indiana Fever,C,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,,,0.0
Michaela Onyenwere,Washington Mystics,F,8.9,3.067,1.733,0.5,0.133,1.767,2.967,6.9,1.333,3.367,1.633,2.0,0.78,0.81,100.766
Michelle Onyiah,New York Liberty,C,,,,,,,,,,,,,,,
Miela Sowah,Golden State Valkyries,G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0
Monique Akoa Makani,Los Angeles Sparks,G,5.0,1.0,1.5,0.5,0.0,1.5,2.0,6.0,0.0,2.0,1.0,1.5,0.171,1.167,1.0
Monique Akoa Makani,Phoenix Mercury,G,9.368,2.053,2.526,1.158,0.211,2.0,3.053,6.947,1.263,2.895,2.0,2.316,0.867,1.118,158.785
Monique Billings,Indiana Fever,F,7.167,5.056,1.056,0.861,0.528,0.861,2.444,4.611,0.167,0.5,2.111,2.75,0.618,0.525,360.995
Myisha Hines-Allen,Indiana Fever,F,3.906,3.219,1.438,0.531,0.375,1.156,1.531,3.188,0.219,0.625,0.625,0.875,0.441,0.899,250.544
NaLyssa Smith,Las Vegas Aces,F,11.811,6.378,0.919,0.568,0.568,0.919,4.865,7.73,0.027,0.243,2.054,3.595,0.302,0.238,162.577
Nadia Fingall,Golden State Valkyries,C,1.0,0.2,0.2,0.0,0.0,0.0,0.4,0.4,0.2,0.2,0.0,0.0,1.5,0.0,199.8
Napheesa Collier,Minnesota Lynx,F,19.111,7.333,3.222,1.667,1.222,2.222,7.222,13.778,2.0,4.0,2.667,3.222,0.671,0.46,112.046
Natasha Cloud,Chicago Sky,G,10.529,3.353,4.971,1.147,0.324,2.206,3.441,7.441,1.029,3.265,2.618,3.029,0.765,1.549,90.652
Natasha Howard,Minnesota Lynx,F,14.703,7.676,3.216,1.703,0.811,2.405,6.027,10.405,0.081,0.378,2.568,3.568,0.285,0.599,109.499
Natasha Mack,Phoenix Mercury,F,8.286,6.714,1.286,0.679,1.071,0.929,3.5,5.679,0.071,0.286,1.214,1.607,0.281,0.397,250.405
Natisha Hiedeman,Seattle Storm,G,15.417,2.694,4.778,1.083,0.139,2.222,5.5,12.389,1.889,5.611,2.528,2.944,0.649,1.177,140.739
Naz Hillmon,Atlanta Dream,F,8.765,4.353,1.471,0.647,0.265,1.265,3.294,7.029,1.059,3.618,1.118,1.382,0.618,0.49,235.887
Ndjakalenga Mwenentanda,Golden State Valkyries,G,0.0,0.4,0.4,0.0,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.0,0.0,,399.6
Nell Angloma,Connecticut Sun,F,3.724,1.552,0.621,0.414,0.345,0.724,1.276,3.069,0.103,0.586,1.069,1.69,0.502,0.51,207.0
Nia Coffey,Minnesota Lynx,F,6.811,4.595,1.838,0.919,1.054,0.676,2.595,5.703,1.297,3.297,0.324,0.595,0.774,1.033,379.027
Nikolina Milic,Toronto Tempo,F,3.0,1.286,0.429,0.0,0.0,0.714,1.286,2.714,0.0,0.286,0.429,0.571,0.25,0.438,285.571
